Section,P10 FPD (max last 5)
"34""",1527.3513513513512
"22""",1039.304347826087
"16""",1656.1983471106248
"12-1/4""",893.9574468085107
"8-3/8""",1455.157894736842
"6-1/8""",1228.0615384637379
"24""",2837.142857131061
"18-5/8""",1805.4545454593224
"13-3/8""",2463.659574468085
"9-5/8""",3446.1971830957664
"7""",4494.2521008315425
